Date: 2021-03-21 17:13:20s, Time_Cost: 520s, Epoch: [32/2000], Train_PSNR: 26.20, Train_SSIM:0.8904, Val_PSNR: 26.35, Val_SSIM: 0.9417
Date: 2021-03-21 17:21:56s, Time_Cost: 516s, Epoch: [33/2000], Train_PSNR: 26.18, Train_SSIM:0.8901, Val_PSNR: 26.14, Val_SSIM: 0.9354
Date: 2021-03-21 17:30:37s, Time_Cost: 521s, Epoch: [34/2000], Train_PSNR: 26.25, Train_SSIM:0.8913, Val_PSNR: 26.32, Val_SSIM: 0.9385
Date: 2021-03-21 17:39:11s, Time_Cost: 514s, Epoch: [35/2000], Train_PSNR: 26.25, Train_SSIM:0.8906, Val_PSNR: 26.25, Val_SSIM: 0.9432
Date: 2021-03-21 22:57:02s, Time_Cost: 662s, Epoch: [1/1980], Train_PSNR: 26.18, Train_SSIM:0.8907, Val_PSNR: 26.02, Val_SSIM: 0.9363
Date: 2021-03-21 23:07:02s, Time_Cost: 599s, Epoch: [2/1980], Train_PSNR: 26.32, Train_SSIM:0.8915, Val_PSNR: 25.62, Val_SSIM: 0.9294
Date: 2021-03-21 23:17:00s, Time_Cost: 599s, Epoch: [3/1980], Train_PSNR: 26.25, Train_SSIM:0.8909, Val_PSNR: 25.87, Val_SSIM: 0.9377
Date: 2021-03-21 23:26:46s, Time_Cost: 585s, Epoch: [4/1980], Train_PSNR: 26.36, Train_SSIM:0.8918, Val_PSNR: 26.01, Val_SSIM: 0.9400
Date: 2021-03-21 23:36:42s, Time_Cost: 596s, Epoch: [5/1980], Train_PSNR: 26.29, Train_SSIM:0.8917, Val_PSNR: 25.74, Val_SSIM: 0.9337
Date: 2021-03-21 23:46:47s, Time_Cost: 605s, Epoch: [6/1980], Train_PSNR: 26.37, Train_SSIM:0.8922, Val_PSNR: 26.18, Val_SSIM: 0.9337
Date: 2021-03-21 23:56:35s, Time_Cost: 588s, Epoch: [7/1980], Train_PSNR: 26.42, Train_SSIM:0.8930, Val_PSNR: 26.36, Val_SSIM: 0.9386
Date: 2021-03-22 00:06:33s, Time_Cost: 598s, Epoch: [8/1980], Train_PSNR: 26.39, Train_SSIM:0.8930, Val_PSNR: 25.96, Val_SSIM: 0.9392
